"","essround","cntry","polintr","trstprl","trstplt","trstep","vote","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","clsprty","stfdem","gndr","eisced","uempla","uempli","dsbld","mainact","pdjobev","wrkctra","mbtru"
"23773",7,"IE","Quite interested","2","3","2","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"23789",7,"IE","Not at all interested","5","2","3","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"23798",7,"IE","Not at all interested","5","6","5","Yes","Yes","No","No","No","No","No","No","No","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"23807",7,"IE","Quite interested","4","4","6","Yes","No","No","No","No","Yes","No","No","Yes","2","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"23821",7,"IE","Quite interested","6","7","7","Yes","No","No","No","No","No","No","No","Yes","4","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"23825",7,"IE","Hardly interested","1","1","6","Yes","Yes","No","No","No","Yes","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23827",7,"IE","Not at all interested","5","7","7","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"23833",7,"IE","Not at all interested","7","7","8","Yes","Don't know","No","No","No","No","No","No","Refusal","3","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23847",7,"IE","Hardly interested","5","5","4","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"23850",7,"IE","Hardly interested","4","3","6","Yes","No","No","No","Yes","Yes","Yes","No","Yes","3","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23869",7,"IE","Not at all interested","No trust at all","2","5","No","No","No","No","No","No","No","No","Yes","3","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Marked","Not marked","Not applicable","Yes","Unlimited","No"
"23886",7,"IE","Not at all interested","8","6","8","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"23895",7,"IE","Not at all interested","6","7","7","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Refusal","Yes, previously"
"23903",7,"IE","Quite interested","4","2","2","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"23914",7,"IE","Not at all interested","Don't know","Don't know","5","Not eligible to vote","No","No","No","No","No","No","Don't know","Don't know","3","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"23917",7,"IE","Hardly interested","No trust at all","3","7","Yes","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"23923",7,"IE","Quite interested","5","6","5","No","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"23938",7,"IE","Not at all interested","4","5","Don't know","No","Yes","No","No","No","No","No","No","No","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23942",7,"IE","Hardly interested","4","4","6","Yes","Yes","No","No","No","No","No","No","No","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"23970",7,"IE","Quite interested","2","5","5","Yes","Yes","No","No","No","No","No","No","No","2","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, currently"
"23986",7,"IE","Quite interested","3","2","5","Yes","No","No","No","No","No","No","Yes","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23987",7,"IE","Hardly interested","3","4","6","Yes","No","No","No","No","Yes","No","No","No","6","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"23998",7,"IE","Hardly interested","2","4","2","No","No","No","No","No","Don't know","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Marked","Not marked","Not applicable","Yes","Limited","No"
"24014",7,"IE","Quite interested","5","5","7","Yes","No","No","No","No","No","No","No","No","4","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Marked","Not applicable","No","Not applicable","No"
"24016",7,"IE","Not at all interested","5","5","6","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24018",7,"IE","Not at all interested","Complete trust","3","Complete trust","No","No","No","No","No","No","No","No","No","9","Female","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"24060",7,"IE","Hardly interested","5","3","3","No","No","No","No","No","No","No","No","No","4","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","No contract","No"
"24070",7,"IE","Hardly interested","4","4","5","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24078",7,"IE","Not at all interested","6","2","8","No","No","No","No","No","No","No","No","No","3","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24101",7,"IE","Quite interested","5","7","5","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24102",7,"IE","Hardly interested","3","3","7","Yes","No","No","No","No","No","No","No","Yes","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Don't know"
"24103",7,"IE","Quite interested","5","5","5","Yes","No","No","No","No","No","No","No","Yes","7","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24104",7,"IE","Quite interested","3","5","5","Yes","No","No","No","No","No","Yes","No","No","5","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","Yes, currently"
"24106",7,"IE","Quite interested","3","5","2","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not applicable","No","Not applicable","No"
"24110",7,"IE","Not at all interested","No trust at all","No trust at all","5","No","No","No","No","No","No","No","No","Yes","8","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"24115",7,"IE","Hardly interested","4","3","7","Not eligible to vote","Yes","Yes","Yes","No","Yes","No","No","No","7","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Unlimited","No"
"24116",7,"IE","Hardly interested","4","No trust at all","7","No","No","No","No","No","No","No","Yes","Yes","8","Male","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Other","Yes","Unlimited","No"
"24126",7,"IE","Not at all interested","Don't know","2","Don't know","Yes","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Paid work","Not applicable","Limited","Yes, currently"
"24134",7,"IE","Hardly interested","3","5","5","Yes","Yes","No","No","No","No","No","No","Yes","4","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, previously"
"24137",7,"IE","Quite interested","2","3","3","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","2","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"24144",7,"IE","Not at all interested","2","2","5","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Marked","Not marked","Not applicable","Yes","Unlimited","No"
"24162",7,"IE","Hardly interested","5","6","6","Yes","No","No","No","No","No","No","No","Yes","6","Male","ES-ISCED V1, lower tertiary education, BA level","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24170",7,"IE","Quite interested","1","2","5","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","4","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24181",7,"IE","Quite interested","2","No trust at all","No trust at all","No","No","No","No","No","Yes","Yes","No","No","2","Male","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24187",7,"IE","Hardly interested","6","7","8","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","9","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24190",7,"IE","Quite interested","5","4","8","Yes","No","No","No","No","No","No","No","No","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24194",7,"IE","Not at all interested","5","6","8","Yes","Yes","No","No","No","No","No","No","Don't know","1","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24198",7,"IE","Hardly interested","4","6","7","Yes","No","No","No","No","No","No","No","No","7","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24199",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","Yes","No","No","No","Yes","Yes","No","No","Extremely dissatisfied","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Marked","Not marked","Not applicable","Yes","Limited","No"
"24221",7,"IE","Hardly interested","5","3","8","Yes","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24222",7,"IE","Quite interested","6","7","8","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","8","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, previously"
"24226",7,"IE","Not at all interested","2","3","2","No","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not applicable","No","Not applicable","No"
"24241",7,"IE","Not at all interested","2","1","1","Yes","No","No","No","No","Yes","Yes","No","Yes","3","Male","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"24243",7,"IE","Very interested","No trust at all","2","2","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24244",7,"IE","Not at all interested","5","6","Don't know","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Don't know","No"
"24255",7,"IE","Quite interested","6","5","4","Yes","Yes","No","No","No","Yes","No","No","No","4","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24258",7,"IE","Hardly interested","7","5","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24260",7,"IE","Hardly interested","2","3","3","No","Yes","No","No","No","Yes","No","No","Yes","3","Male","ES-ISCED I , less than lower secondary","Not marked","Marked","Not marked","Unemployed, not looking for job","Not applicable","No contract","No"
"24264",7,"IE","Quite interested","6","3","6","Yes","Yes","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24275",7,"IE","Quite interested","4","4","3","Yes","No","No","No","No","Yes","No","No","No","3","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24282",7,"IE","Hardly interested","No trust at all","No trust at all","No trust at all","No","Yes","Don't know","No","No","Yes","No","Yes","No","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"24290",7,"IE","Not at all interested","Don't know","5","5","No","No","No","No","No","Yes","No","Yes","No","6","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24294",7,"IE","Hardly interested","Don't know","Don't know","Don't know","No","No","No","No","No","No","No","No","No","7","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Not applicable","No"
"24295",7,"IE","Very interested","5","5","3","No","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24310",7,"IE","Quite interested","4","3","6","Yes","No","No","Yes","No","Yes","No","No","Yes","2","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24330",7,"IE","Hardly interested","5","Don't know","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24350",7,"IE","Hardly interested","5","2","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24385",7,"IE","Not at all interested","5","5","5","Refusal","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24387",7,"IE","Not at all interested","4","5","5","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24396",7,"IE","Not at all interested","5","3","5","Not eligible to vote","No","No","No","No","No","No","No","No","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24397",7,"IE","Not at all interested","5","5","5","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, previously"
"24399",7,"IE","Not at all interested","4","1","5","Refusal","No","No","No","No","No","No","Yes","No","5","Male","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24401",7,"IE","Not at all interested","2","No trust at all","8","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24402",7,"IE","Not at all interested","5","3","5","Not eligible to vote","No","No","No","No","No","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24413",7,"IE","Quite interested","2","5","5","Yes","No","No","No","No","No","No","No","No","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24420",7,"IE","Not at all interested","2","5","8","Yes","No","No","Yes","No","No","No","No","Yes","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"24422",7,"IE","Quite interested","7","3","5","No","No","No","No","No","No","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24425",7,"IE","Not at all interested","No trust at all","No trust at all","5","Yes","Yes","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Marked","Not marked","Not applicable","Yes","No contract","No"
"24432",7,"IE","Not at all interested","4","6","3","Yes","No","No","No","No","No","No","No","No","2","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24441",7,"IE","Hardly interested","5","5","7","Yes","Yes","No","No","No","Yes","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24454",7,"IE","Hardly interested","4","5","Don't know","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24469",7,"IE","Not at all interested","5","Don't know","Don't know","No","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24475",7,"IE","Not at all interested","No trust at all","6","Don't know","No","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Unemployed, not looking for job","Yes","Unlimited","No"
"24507",7,"IE","Quite interested","1","No trust at all","7","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","1","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24508",7,"IE","Hardly interested","6","5","6","Yes","Yes","No","No","No","No","No","No","No","9","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24519",7,"IE","Hardly interested","4","4","6","No","No","No","No","No","Yes","Yes","No","Yes","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24529",7,"IE","Hardly interested","No trust at all","No trust at all","5","Yes","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24548",7,"IE","Not at all interested","Don't know","Don't know","Don't know","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24549",7,"IE","Not at all interested","3","No trust at all","7","Yes","No","No","No","No","Yes","No","No","No","5","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24575",7,"IE","Not at all interested","5","5","8","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24581",7,"IE","Hardly interested","3","2","7","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24582",7,"IE","Not at all interested","2","No trust at all","5","No","No","No","No","No","Yes","Yes","No","Yes","5","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24585",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","No","No","No","No","No","Yes","No","No","Extremely dissatisfied","Male","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not applicable","Yes","No contract","No"
"24587",7,"IE","Not at all interested","4","7","7","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24589",7,"IE","Not at all interested","4","2","6","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","Yes, previously"
"24608",7,"IE","Not at all interested","4","1","4","Yes","Refusal","No","No","No","Yes","Yes","No","No","2","Female","ES-ISCED IIIb, lower tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24622",7,"IE","Not at all interested","5","4","7","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24641",7,"IE","Not at all interested","4","3","2","Yes","No","No","No","No","No","No","No","Yes","6","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24679",7,"IE","Hardly interested","2","2","5","Yes","No","No","No","No","No","No","Yes","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24680",7,"IE","Hardly interested","Don't know","Don't know","7","Not eligible to vote","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"24684",7,"IE","Hardly interested","Don't know","3","Don't know","No","No","No","Yes","No","No","No","Yes","Don't know","7","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"24697",7,"IE","Hardly interested","No trust at all","3","6","Yes","No","No","No","No","Yes","No","No","No","3","Female","ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24709",7,"IE","Hardly interested","1","No trust at all","No trust at all","Yes","No","No","No","No","No","No","No","No","1","Female","ES-ISCED IIIb, lower tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, previously"
"24713",7,"IE","Quite interested","6","4","5","No","No","No","No","No","No","No","No","No","4","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24714",7,"IE","Hardly interested","6","4","5","Yes","No","No","No","No","No","No","No","No","5","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24725",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","Yes","No","No","No","Yes","No","No","No","Extremely dissatisfied","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, previously"
"24727",7,"IE","Quite interested","5","3","6","No","No","No","No","No","No","No","No","No","5","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24728",7,"IE","Hardly interested","5","3","4","No","No","No","No","No","No","No","No","No","6","Male","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24751",7,"IE","Quite interested","6","5","7","No","No","No","No","No","Yes","No","Yes","No","3","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","Limited","No"
"24764",7,"IE","Not at all interested","4","4","4","Yes","No","No","No","No","No","No","No","No","4","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","Yes, currently"
"24781",7,"IE","Not at all interested","3","3","5","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","7","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Limited","No"
"24795",7,"IE","Not at all interested","2","1","2","No","Yes","No","No","No","Yes","No","No","Yes","4","Female","ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not applicable","Yes","Not applicable","No"
"24816",7,"IE","Hardly interested","1","2","3","No","No","No","No","No","No","No","No","No","3","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24823",7,"IE","Not at all interested","Don't know","No trust at all","Don't know","No","No","No","No","No","No","No","No","No","3","Female","ES-ISCED II, lower secondary","Not marked","Marked","Not marked","Not applicable","Yes","Unlimited","No"
"24824",7,"IE","Hardly interested","1","2","2","Yes","Yes","No","No","No","No","No","No","No","3","Female","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","Yes, previously"
"24843",7,"IE","Quite interested","3","6","6","Yes","No","No","No","No","Yes","No","Yes","Yes","7","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","Yes, currently"
"24849",7,"IE","Not at all interested","2","No trust at all","8","Yes","No","No","No","No","Don't know","No","No","Don't know","2","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24870",7,"IE","Not at all interested","5","9","9","Yes","No","No","No","No","No","No","No","No","9","Male","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
"24880",7,"IE","Quite interested","5","6","7","Yes","No","No","No","No","Yes","No","No","No","6","Female","ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24881",7,"IE","Hardly interested","5","5","5","No","No","No","No","No","No","Yes","No","No","5","Female","ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"24894",7,"IE","Not at all interested","Don't know","2","5","No","No","No","No","No","No","No","No","No","Don't know","Female","ES-ISCED IIIa, upper tier upper secondary","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24898",7,"IE","Very interested","6","2","2","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","8","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Yes","No contract","No"
"24899",7,"IE","Not at all interested","8","7","8","Yes","No","No","No","No","No","No","No","No","Don't know","Male","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Marked","Paid work","Not applicable","Unlimited","No"
"24903",7,"IE","Hardly interested","2","5","3","Yes","No","No","No","No","No","No","No","Yes","1","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","Unlimited","No"
"24905",7,"IE","Not at all interested","Don't know","Don't know","Don't know","No","No","No","No","Yes","Yes","Yes","No","No","Don't know","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","No","Not applicable","No"
"24938",7,"IE","Not at all interested","No trust at all","No trust at all","No trust at all","Yes","Yes","No","No","Yes","No","No","No","No","Extremely satisfied","Male","ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not applicable","Yes","Unlimited","No"
"24953",7,"IE","Not at all interested","1","1","1","Not eligible to vote","No","No","No","No","No","No","No","No","5","Female","ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not applicable","Not applicable","No contract","No"
